"","simulation","Dataset","param_mod","r","rmse","bias","cf","n","a1","a2","a3","corM"
"2","raw","Kepert","0","0.64","10.8","-7.95",NA,"118",NA,NA,NA,"0.49"
"3","raw","Kepert","1","0.62","9.74","-5.01",NA,"118",NA,NA,NA,"0.56"
"4","raw","Kepert","2","0.57","10.97","-4.86",NA,"118",NA,NA,NA,"0.53"
"5","raw","Kepert","3","0.62","9.61","-4.91",NA,"118",NA,NA,NA,"0.54"
"6","raw","Hubbert","0","0.6","8.11","-4.31",NA,"118",NA,NA,NA,"0.43"
"7","raw","Hubbert","1","0.63","7.03","-1.11",NA,"118",NA,NA,NA,"0.52"
"8","raw","Hubbert","2","0.59","7.94","-0.67",NA,"118",NA,NA,NA,"0.54"
"9","raw","Hubbert","3","0.62","6.96","-1.08",NA,"118",NA,NA,NA,"0.5"
"10","raw","McConochie","0","0.58","8.49","-5.38",NA,"118",NA,NA,NA,"0.39"
"11","raw","McConochie","1","0.62","7.08","-3.38",NA,"118",NA,NA,NA,"0.49"
"12","raw","McConochie","2","0.65","6.86","-3.2",NA,"118",NA,NA,NA,"0.5"
"13","raw","McConochie","3","0.63","6.97","-3.25",NA,"118",NA,NA,NA,"0.49"
"14","raw_justWater","Kepert","0","0.78","7.99","-4.59",NA,"46",NA,NA,NA,"0.55"
"15","raw_justWater","Kepert","1","0.8","7.11","-1.61",NA,"46",NA,NA,NA,"0.6"
"16","raw_justWater","Kepert","2","0.77","8.69","-0.69",NA,"46",NA,NA,NA,"0.56"
"17","raw_justWater","Kepert","3","0.79","7.24","-1.48",NA,"46",NA,NA,NA,"0.58"
"18","raw_justWater","Hubbert","0","0.74","6.47","-0.11",NA,"46",NA,NA,NA,"0.54"
"19","raw_justWater","Hubbert","1","0.79","6.76","3.16",NA,"46",NA,NA,NA,"0.54"
"20","raw_justWater","Hubbert","2","0.78","7.87","3.89",NA,"46",NA,NA,NA,"0.53"
"21","raw_justWater","Hubbert","3","0.78","6.88","3.21",NA,"46",NA,NA,NA,"0.52"
